id,MEAS_REF,MEAS_REN,MEAS_NEW,MEAS_NO,REF_Thermische_Sanierung,REF_Heizungstausch
77,1,0,0,0,0,1
78,1,1,0,0,0,1
79,1,1,0,0,0,1
80,1,1,0,0,1,0
81,1,1,0,0,1,0
82,0,0,1,0,0,0
83,0,0,1,0,0,0
84,0,0,1,0,0,0
85,1,0,1,0,0,0
86,1,1,0,0,1,1
87,1,1,0,0,1,1
88,1,1,0,0,1,1
89,1,1,1,0,1,1
90,1,0,0,0,1,1
91,1,1,0,0,1,1
92,1,1,0,0,1,1
93,1,0,0,0,1,1
94,1,0,0,0,1,1
95,1,1,0,0,1,1
96,1,1,0,0,1,1
97,1,1,0,0,1,1
98,1,0,0,0,1,1
99,1,0,0,0,1,1
100,1,0,0,0,1,1
101,1,0,0,0,0,1
102,1,1,0,0,0,1
103,1,0,0,0,0,1
104,1,0,0,0,0,1
105,1,1,0,0,1,0
106,1,1,0,0,1,0
107,1,1,0,0,1,0
108,0,0,0,1,0,0
109,0,0,0,1,0,0
110,0,0,0,1,0,0
111,0,0,1,0,0,0
112,0,0,1,0,0,0
113,0,0,1,0,0,0
114,0,0,1,0,0,0
115,0,0,1,0,0,0
116,1,1,0,0,0,0
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,0,1,1,0,0,0
120,0,1,0,0,0,0
121,0,1,0,0,0,0
122,1,1,0,0,1,1
123,1,1,0,0,1,1
124,1,1,0,0,1,1
125,1,1,0,0,1,1
126,1,1,0,0,1,1
127,1,1,0,0,1,1
128,1,1,0,0,1,1
129,1,1,0,0,1,1
130,1,1,0,0,1,1
131,1,0,0,0,1,1
132,1,0,0,0,1,1
133,1,0,0,0,0,1
134,1,1,0,0,0,1
135,1,0,0,0,0,1
136,1,0,0,0,0,1
137,1,0,0,0,1,0
138,1,1,0,0,1,0
139,1,1,0,0,1,0
140,1,1,0,0,1,0
141,0,0,0,1,0,0
142,0,0,0,1,0,0
143,0,0,0,1,0,0
144,0,0,0,1,0,0
145,0,0,1,0,0,0
146,0,0,1,0,0,0
147,0,0,1,0,0,0
148,0,0,1,0,0,0
149,1,1,0,0,0,0
150,1,1,0,0,0,0
151,0,1,0,0,0,0
152,1,1,0,0,1,1
153,1,1,0,0,1,1
154,1,1,0,0,1,1
155,1,1,0,0,1,1
156,1,1,0,0,1,1
157,1,1,0,0,1,1
158,1,1,0,0,1,1
159,1,0,0,0,1,1
160,1,0,0,0,1,1
161,1,1,0,0,1,1
162,1,1,0,0,1,1
163,1,1,0,0,1,1
164,1,1,1,0,1,1
165,1,1,1,0,1,1
166,1,0,0,0,1,1
167,1,1,0,0,1,1
168,1,1,0,0,1,1
169,1,1,0,0,1,1
170,1,0,0,0,1,1
171,1,1,0,0,1,1
172,1,0,0,0,1,1
173,1,0,0,0,1,1
174,1,1,0,0,1,1
175,1,1,0,0,1,1
176,1,1,0,0,1,1
177,1,1,0,0,1,1
178,1,1,0,0,1,1
179,1,0,0,0,1,1
180,1,1,0,0,1,1
181,1,1,0,0,1,1
182,1,1,0,0,1,1
183,1,0,0,0,1,1
184,1,1,0,0,1,1
185,1,1,0,0,1,1
186,1,0,0,0,1,1
187,1,1,0,0,1,1
188,1,0,0,0,1,1
189,1,1,0,0,1,1
190,1,1,0,0,1,1
191,1,1,0,0,1,1
192,1,1,0,0,1,1
193,1,1,0,0,1,1
194,1,1,0,0,1,1
195,1,1,0,0,1,1
196,1,1,0,0,1,1
197,1,1,0,0,1,1
198,1,1,0,0,1,1
199,1,1,0,0,1,1
200,1,1,0,0,1,1
201,1,1,0,0,1,1
202,1,1,0,0,1,1
203,1,1,0,0,1,1
204,1,1,0,0,1,1
205,1,1,0,0,1,1
206,1,1,0,0,1,1
207,1,0,0,0,1,1
208,1,0,0,0,1,1
209,1,1,0,0,1,1
210,1,0,0,0,1,1
211,1,0,0,0,1,1
212,1,1,0,0,1,1
213,1,0,0,0,1,1
214,1,0,0,0,1,1
215,1,0,0,0,1,1
216,1,0,1,0,1,1
217,1,1,1,0,1,1
218,1,1,0,0,0,1
219,1,0,0,0,0,1
220,1,0,0,0,0,1
221,1,0,0,0,0,1
222,1,1,0,0,0,1
223,1,0,0,0,0,1
224,1,0,0,0,0,1
225,1,0,0,0,0,1
226,1,0,0,0,0,1
227,1,0,0,0,0,1
228,1,0,0,0,0,1
229,1,0,0,0,0,1
230,1,0,0,0,0,1
231,1,0,0,0,0,1
232,1,0,0,0,0,1
233,1,1,0,0,0,1
234,1,1,0,0,0,1
235,1,1,0,0,0,1
236,1,0,0,0,0,1
237,1,0,0,0,0,1
238,1,1,0,0,0,1
239,1,0,0,0,0,1
240,1,0,0,0,0,1
241,1,1,0,0,0,1
242,1,0,0,0,0,1
243,1,1,1,0,1,0
244,1,1,1,0,1,0
245,1,1,0,0,1,0
246,1,1,0,0,1,0
247,1,0,0,0,1,0
248,1,1,0,0,1,0
249,1,0,0,0,1,0
250,1,1,0,0,1,0
251,1,0,0,0,1,0
252,1,1,0,0,1,0
253,1,1,0,0,1,0
254,1,1,0,0,1,0
255,1,1,0,0,1,0
256,1,1,0,0,1,0
257,1,0,0,0,1,0
258,1,0,0,0,1,0
259,1,0,0,0,1,0
260,1,0,0,0,1,0
261,1,1,1,0,1,0
262,1,0,1,0,1,0
263,0,0,0,1,0,0
264,0,0,0,1,0,0
265,0,0,0,1,0,0
266,0,0,0,1,0,0
267,0,0,0,1,0,0
268,0,0,0,1,0,0
269,0,0,0,1,0,0
270,0,0,0,1,0,0
271,0,0,0,1,0,0
272,0,0,0,1,0,0
273,0,0,0,1,0,0
274,0,0,0,1,0,0
275,0,0,1,0,0,0
276,0,0,1,0,0,0
277,0,0,1,0,0,0
278,0,0,1,0,0,0
279,0,0,1,0,0,0
280,0,0,1,0,0,0
281,0,0,1,0,0,0
282,0,0,1,0,0,0
283,0,0,1,0,0,0
284,0,0,1,0,0,0
285,0,0,1,0,0,0
286,0,0,1,0,0,0
287,0,0,1,0,0,0
288,0,0,1,0,0,0
289,0,0,1,0,0,0
290,0,0,1,0,0,0
291,0,0,1,0,0,0
292,0,0,1,0,0,0
293,0,0,1,0,0,0
294,0,0,1,0,0,0
295,0,0,1,0,0,0
296,0,0,1,0,0,0
297,0,0,1,0,0,0
298,0,0,1,0,0,0
299,0,0,1,0,0,0
300,0,0,1,0,0,0
301,0,0,1,0,0,0
302,0,0,1,0,0,0
303,1,0,0,0,0,0
304,1,0,0,0,0,0
305,1,0,0,0,0,0
306,1,0,0,0,0,0
307,1,1,0,0,0,0
308,1,0,0,0,0,0
309,0,1,1,0,0,0
310,0,1,0,0,0,0
311,0,1,0,0,0,0
312,0,1,0,0,0,0
313,0,1,0,0,0,0
314,0,1,0,0,0,0
315,1,1,0,0,1,1
316,1,1,1,0,1,1
317,1,1,0,0,1,1
318,1,1,0,0,1,1
319,1,1,0,0,1,1
320,1,1,0,0,1,1
321,1,0,0,0,1,1
322,1,0,0,0,1,1
323,1,1,0,0,1,1
324,1,1,0,0,1,1
325,1,0,0,0,1,1
326,1,1,0,0,1,1
327,1,0,0,0,1,1
328,1,1,0,0,1,1
329,1,1,0,0,1,1
330,1,1,0,0,0,1
331,1,1,0,0,0,1
332,1,1,0,0,0,1
333,1,1,0,0,0,1
334,1,1,0,0,1,0
335,1,1,0,0,1,0
336,1,0,0,0,1,0
337,1,1,0,0,1,0
338,0,0,0,1,0,0
339,0,0,0,1,0,0
340,0,0,0,1,0,0
341,0,0,0,1,0,0
342,0,0,0,1,0,0
343,0,0,1,0,0,0
344,0,0,1,0,0,0
345,0,0,1,0,0,0
346,0,0,1,0,0,0
347,0,0,1,0,0,0
348,0,0,1,0,0,0
349,0,0,1,0,0,0
350,1,0,0,0,0,0
351,1,0,0,0,0,0
352,1,0,1,0,0,0
353,0,1,0,0,0,0
354,0,1,0,0,0,0
355,1,1,0,0,1,1
356,1,1,0,0,0,1
357,1,1,0,0,1,0
358,0,0,0,1,0,0
359,0,0,1,0,0,0
360,1,0,0,0,0,0
361,0,1,0,0,0,0
362,1,0,0,0,1,1
363,1,0,0,0,1,1
364,1,1,0,0,1,1
365,1,1,0,0,0,1
366,1,0,0,0,0,1
367,1,1,0,0,1,1
368,1,1,0,0,1,1
369,1,0,0,0,1,1
370,1,1,0,0,1,1
371,1,1,0,0,1,1
372,1,1,0,0,1,1
373,1,0,0,0,1,1
374,1,1,0,0,1,1
375,1,1,0,0,1,1
376,1,1,0,0,1,1
377,1,1,0,0,1,1
378,1,0,0,0,1,1
379,1,0,0,0,1,1
380,1,1,0,0,1,1
381,1,1,0,0,1,1
382,1,1,0,0,1,1
383,1,0,0,0,1,1
384,1,0,0,0,1,1
385,1,1,0,0,1,1
386,1,1,0,0,1,1
387,1,1,0,0,1,1
388,1,1,0,0,0,1
389,1,0,0,0,0,1
390,1,0,0,0,0,1
391,1,1,0,0,0,1
392,1,0,0,0,0,1
393,1,0,0,0,0,1
394,1,1,0,0,1,0
395,1,0,0,0,1,0
396,1,0,0,0,1,0
397,1,1,0,0,1,0
398,1,0,0,0,1,0
399,1,1,0,0,1,0
400,0,0,0,1,0,0
401,0,0,0,1,0,0
402,0,0,0,1,0,0
403,0,0,1,0,0,0
404,0,0,1,0,0,0
405,0,0,1,0,0,0
406,0,0,1,0,0,0
407,1,1,0,0,0,0
408,1,0,0,0,0,0
409,1,1,0,0,0,0
410,1,0,0,0,0,0
411,0,1,0,0,0,0
412,0,1,0,0,0,0
413,1,0,0,0,0,1
414,1,1,0,0,1,1
415,1,0,0,0,0,1
416,1,0,0,0,0,1
417,0,0,0,1,0,0
418,0,0,0,1,0,0
419,0,0,1,0,0,0
420,0,0,1,0,0,0
421,1,0,0,0,0,0
422,0,1,0,0,0,0
423,1,1,0,0,1,1
424,1,1,0,0,1,1
425,1,0,0,0,0,1
426,1,0,0,0,0,0
427,1,1,0,0,1,1
428,1,1,0,0,1,1
429,1,1,0,0,1,1
430,1,1,0,0,1,1
431,1,1,0,0,1,1
432,1,1,0,0,1,1
433,1,1,0,0,1,1
434,1,0,0,0,1,1
435,1,1,0,0,1,1
436,1,1,0,0,1,1
437,1,1,0,0,1,1
438,1,0,0,0,0,1
439,1,1,0,0,0,1
440,1,0,1,0,0,1
441,1,1,0,0,1,0
442,1,1,0,0,1,0
443,1,1,0,0,1,0
444,0,0,0,1,0,0
445,0,0,0,1,0,0
446,0,0,0,1,0,0
447,0,0,0,1,0,0
448,0,0,0,1,0,0
449,0,0,1,0,0,0
450,0,0,1,0,0,0
451,0,0,1,0,0,0
452,1,0,0,0,0,0
453,1,0,0,0,0,0
454,1,0,0,0,0,0
455,1,1,0,0,0,0
456,1,1,0,0,1,1
457,1,0,0,0,1,1
458,1,0,0,0,1,1
459,1,1,0,0,1,1
460,1,0,0,0,1,1
461,1,1,0,0,1,1
462,1,0,0,0,1,1
463,1,0,0,0,0,1
464,1,1,0,0,1,0
465,1,0,0,0,0,0
466,1,1,0,0,1,1
467,1,1,0,0,1,1
468,1,1,0,0,1,1
469,1,1,0,0,1,1
470,1,1,0,0,1,1
471,1,1,0,0,1,1
472,1,1,0,0,1,1
473,1,1,0,0,1,1
474,1,0,0,0,1,1
475,1,0,0,0,0,1
476,1,0,0,0,0,1
477,1,1,0,0,1,0
478,1,1,0,0,1,0
479,0,1,0,0,0,0
480,0,1,0,0,0,0
481,1,1,0,0,1,1
482,1,1,0,0,1,1
483,1,1,1,0,1,1
484,1,0,0,0,1,1
485,1,0,0,0,1,1
486,1,1,0,0,1,1
487,1,1,0,0,1,1
488,1,1,0,0,1,1
489,1,1,0,0,1,1
490,1,0,1,0,1,1
491,1,1,0,0,0,1
492,1,0,0,0,0,1
493,1,0,0,0,0,1
494,1,1,0,0,1,0
495,0,0,0,1,0,0
496,0,0,0,1,0,0
497,0,0,0,1,0,0
498,0,0,0,1,0,0
499,0,0,0,1,0,0
500,0,0,1,0,0,0
501,0,0,1,0,0,0
502,0,0,1,0,0,0
503,0,0,1,0,0,0
504,0,0,1,0,0,0
505,1,0,0,0,0,0
506,1,1,1,0,0,0
507,0,1,0,0,0,0
508,1,1,0,0,1,1
509,1,1,0,0,1,1
510,1,0,0,0,0,1
511,1,1,0,0,0,1
512,1,1,0,0,1,0
513,0,0,0,1,0,0
514,0,0,0,1,0,0
515,0,0,1,0,0,0
516,0,0,1,0,0,0
517,0,0,1,0,0,0
518,1,0,0,0,0,0
519,1,1,0,0,1,1
520,1,1,0,0,1,1
521,1,0,0,0,0,1
522,1,1,0,0,1,0
523,0,0,1,0,0,0
524,1,0,0,0,1,1
525,0,1,0,0,0,0
526,1,1,0,0,0,1
527,1,0,0,0,0,1
528,1,1,0,0,1,0
529,0,0,0,1,0,0
530,0,0,0,1,0,0
531,1,0,0,0,0,0
532,0,0,1,0,0,0
533,0,0,1,0,0,0
534,1,1,0,0,1,1
535,1,0,0,0,1,1
536,1,0,0,0,0,1
537,0,0,0,1,0,0
538,0,0,1,0,0,0
539,0,0,0,1,0,0
540,1,1,0,0,1,0
541,0,0,0,1,0,0
542,1,1,0,0,1,1
543,1,0,0,0,1,0
544,0,0,0,1,0,0
545,0,0,1,0,0,0
546,1,1,0,0,0,0
547,1,0,0,0,1,1
548,1,0,0,0,1,1
549,1,1,0,0,1,1
550,1,0,0,0,1,1
551,1,0,0,0,1,1
552,1,0,0,0,1,0
553,1,1,1,0,1,0
554,0,0,0,1,0,0
555,0,0,1,0,0,0
556,0,0,1,0,0,0
557,1,0,0,0,1,1
558,1,1,0,0,0,0
559,1,1,0,0,0,1
560,1,1,0,0,0,1
561,1,1,0,0,1,1
562,1,1,0,0,1,1
563,1,0,0,0,1,1
564,1,1,0,0,0,1
565,1,1,0,0,0,1
566,0,0,1,0,0,0
567,1,0,0,0,0,0
568,0,1,1,0,0,0
569,1,0,0,0,0,0
570,1,1,0,0,1,1
571,1,0,0,0,1,1
572,1,1,0,0,1,0
573,0,0,1,0,0,0
574,0,0,1,0,0,0
575,1,0,1,0,0,0
576,1,0,0,0,0,1
577,0,0,1,0,0,0
578,0,0,1,0,0,0
579,1,1,0,0,1,1
580,1,1,0,0,1,1
581,1,0,0,0,0,1
582,1,0,0,0,0,1
583,1,1,0,0,1,1
584,1,0,0,0,1,1
585,1,1,0,0,1,1
586,1,1,0,0,1,1
587,1,1,0,0,1,1
588,1,1,0,0,1,1
589,1,1,0,0,1,1
590,1,1,1,0,1,1
591,1,1,1,0,1,1
592,1,1,1,0,1,1
593,1,0,0,0,0,1
594,1,1,0,0,0,1
595,1,0,0,0,0,1
596,1,1,0,0,1,0
597,1,1,0,0,1,0
598,1,1,0,0,1,0
599,1,1,0,0,1,0
600,1,0,1,0,1,0
601,0,0,0,1,0,0
602,0,0,0,1,0,0
603,0,0,0,1,0,0
604,0,0,0,1,0,0
605,0,0,0,1,0,0
606,0,0,0,1,0,0
607,0,0,0,1,0,0
608,0,0,1,0,0,0
609,0,0,1,0,0,0
610,0,0,1,0,0,0
611,0,0,1,0,0,0
612,1,0,0,0,0,0
613,1,0,0,0,0,0
614,0,1,0,0,0,0
615,1,0,0,0,1,0
616,0,1,0,0,0,0
617,1,1,0,0,1,1
618,1,1,0,0,1,1
619,1,1,0,0,1,1
620,1,1,0,0,1,1
621,1,1,0,0,1,1
622,1,1,0,0,1,1
623,1,1,0,0,1,1
624,1,0,0,0,1,1
625,1,0,0,0,0,1
626,1,1,0,0,0,1
627,1,1,0,0,0,1
628,1,1,0,0,0,1
629,1,0,0,0,0,1
630,1,1,0,0,0,1
631,1,1,0,0,0,1
632,1,0,0,0,0,1
633,1,1,0,0,0,1
634,1,0,0,0,0,1
635,1,0,0,0,0,1
636,0,0,0,1,0,0
637,0,0,0,1,0,0
638,1,0,0,0,0,0
639,0,1,0,0,0,0
640,0,0,1,0,0,0
641,1,1,0,0,1,1
642,1,1,0,0,1,1
643,0,0,1,0,0,0
644,1,1,0,0,1,1
645,1,0,0,0,0,0
646,1,1,0,0,1,1
647,1,1,0,0,1,1
648,1,1,0,0,1,1
649,1,1,0,0,1,1
650,1,1,0,0,1,1
651,1,1,0,0,1,1
652,1,1,0,0,1,1
653,1,0,0,0,1,1
654,1,0,0,0,1,1
655,1,1,0,0,1,1
656,1,0,0,0,1,1
657,1,1,0,0,1,1
658,1,1,0,0,1,1
659,1,0,0,0,1,1
660,1,1,0,0,1,1
661,1,1,0,0,1,1
662,1,1,0,0,1,1
663,1,1,0,0,1,1
664,1,1,0,0,1,1
665,1,1,0,0,1,1
666,1,1,0,0,1,1
667,1,0,0,0,1,1
668,1,1,1,0,1,1
669,1,1,1,0,1,1
670,1,1,1,0,1,1
671,1,1,1,0,1,1
672,1,1,1,0,1,1
673,1,1,0,0,1,1
674,1,1,0,0,1,1
675,1,1,0,0,1,1
676,1,1,0,0,1,1
677,1,0,0,0,1,1
678,1,1,0,0,1,1
679,1,0,0,0,1,1
680,1,0,0,0,1,1
681,1,0,0,0,1,1
682,1,0,0,0,1,1
683,1,0,0,0,1,1
684,1,0,0,0,1,1
685,1,0,0,0,1,1
686,1,0,0,0,1,1
687,1,1,0,0,1,1
688,1,1,0,0,1,1
689,1,1,0,0,1,1
690,1,1,0,0,1,1
691,1,1,0,0,1,1
692,1,1,0,0,1,1
693,1,1,0,0,1,1
694,1,0,0,0,1,1
695,1,1,0,0,1,1
696,1,1,0,0,1,1
697,1,1,0,0,1,1
698,1,1,0,0,1,1
699,1,0,0,0,1,1
700,1,0,0,0,1,1
701,1,1,0,0,1,1
702,1,1,0,0,1,1
703,1,1,0,0,1,1
704,1,1,0,0,1,1
705,1,0,0,0,1,1
706,1,1,0,0,1,1
707,1,0,0,0,1,1
708,1,1,0,0,1,1
709,1,0,0,0,1,1
710,1,1,0,0,1,1
711,1,1,0,0,1,1
712,1,1,0,0,1,1
713,1,0,0,0,1,1
714,1,1,0,0,1,1
715,1,1,0,0,1,1
716,1,0,0,0,1,1
717,1,0,0,0,1,1
718,1,0,0,0,1,1
719,1,0,0,0,1,1
720,1,1,0,0,1,1
721,1,0,0,0,1,1
722,1,0,0,0,1,1
723,1,0,0,0,1,1
724,1,1,0,0,1,1
725,1,1,0,0,1,1
726,1,0,0,0,1,1
727,1,1,0,0,1,1
728,1,1,0,0,1,1
729,1,1,0,0,1,1
730,1,1,0,0,1,1
731,1,0,0,0,1,1
732,1,1,0,0,1,1
733,1,1,0,0,1,1
734,1,1,0,0,1,1
735,1,1,0,0,1,1
736,1,0,0,0,1,1
737,1,1,0,0,1,1
738,1,0,0,0,1,1
739,1,0,0,0,1,1
740,1,0,0,0,1,1
741,1,0,0,0,1,1
742,1,0,0,0,1,1
743,1,0,0,0,1,1
744,1,0,0,0,1,1
745,1,1,0,0,1,1
746,1,0,0,0,1,1
747,1,0,0,0,1,1
748,1,0,0,0,1,1
749,1,0,0,0,1,1
750,1,1,1,0,1,1
751,1,1,1,0,1,1
752,1,1,0,0,0,1
753,1,0,0,0,0,1
754,1,1,0,0,0,1
755,1,0,0,0,0,1
756,1,0,0,0,0,1
757,1,0,0,0,0,1
758,1,1,0,0,0,1
759,1,1,0,0,0,1
760,1,0,0,0,0,1
761,1,0,0,0,0,1
762,1,1,0,0,0,1
763,1,0,0,0,0,1
764,1,0,0,0,0,1
765,1,0,0,0,0,1
766,1,1,0,0,0,1
767,1,1,0,0,0,1
768,1,0,0,0,0,1
769,1,0,0,0,0,1
770,1,1,0,0,0,1
771,1,1,0,0,0,1
772,1,1,0,0,0,1
773,1,0,0,0,0,1
774,1,1,0,0,0,1
775,1,0,0,0,0,1
776,1,1,0,0,0,1
777,1,0,0,0,0,1
778,1,1,0,0,0,1
779,1,0,0,0,0,1
780,1,0,0,0,0,1
781,1,1,0,0,0,1
782,1,1,0,0,0,1
783,1,0,0,0,0,1
784,1,1,0,0,0,1
785,1,1,0,0,0,1
786,1,0,0,0,0,1
787,1,1,0,0,0,1
788,1,1,0,0,0,1
789,1,1,0,0,0,1
790,1,0,0,0,0,1
791,1,1,0,0,0,1
792,1,1,0,0,0,1
793,1,0,0,0,0,1
794,1,0,0,0,0,1
795,1,0,0,0,0,1
796,1,1,0,0,1,0
797,1,1,0,0,1,0
798,1,1,0,0,1,0
799,1,1,0,0,1,0
800,1,1,0,0,1,0
801,1,1,0,0,1,0
802,1,1,0,0,1,0
803,1,1,0,0,1,0
804,1,1,0,0,1,0
805,1,1,0,0,1,0
806,1,1,0,0,1,0
807,1,1,0,0,1,0
808,1,0,0,0,1,0
809,1,0,0,0,1,0
810,1,1,0,0,1,0
811,1,1,0,0,1,0
812,1,1,0,0,1,0
813,1,0,0,0,1,0
814,1,1,0,0,1,0
815,1,1,0,0,1,0
816,1,1,0,0,1,0
817,1,1,0,0,1,0
818,1,1,0,0,1,0
819,1,0,0,0,1,0
820,1,0,0,0,1,0
821,1,0,0,0,1,0
822,1,0,0,0,1,0
823,1,1,1,0,1,0
824,1,0,1,0,1,0
825,0,0,0,1,0,0
826,0,0,0,1,0,0
827,0,0,0,1,0,0
828,0,0,0,1,0,0
829,0,0,0,1,0,0
830,0,0,0,1,0,0
831,0,0,0,1,0,0
832,0,0,0,1,0,0
833,0,0,0,1,0,0
834,0,0,0,1,0,0
835,0,0,0,1,0,0
836,0,0,0,1,0,0
837,0,0,0,1,0,0
838,0,0,0,1,0,0
839,0,0,0,1,0,0
840,0,0,0,1,0,0
841,0,0,0,1,0,0
842,0,0,0,1,0,0
843,0,0,0,1,0,0
844,0,0,0,1,0,0
845,0,0,0,1,0,0
846,0,0,0,1,0,0
847,0,0,0,1,0,0
848,0,0,0,1,0,0
849,0,0,0,1,0,0
850,0,0,0,1,0,0
851,0,0,0,1,0,0
852,0,0,0,1,0,0
853,0,0,0,1,0,0
854,0,0,0,1,0,0
855,0,0,0,1,0,0
856,0,0,0,1,0,0
857,0,0,0,1,0,0
858,0,0,1,0,0,0
859,0,0,1,0,0,0
860,0,0,1,0,0,0
861,0,0,1,0,0,0
862,0,0,1,0,0,0
863,0,0,1,0,0,0
864,0,0,1,0,0,0
865,0,0,1,0,0,0
866,0,0,1,0,0,0
867,0,0,1,0,0,0
868,0,0,1,0,0,0
869,0,0,1,0,0,0
870,0,0,1,0,0,0
871,0,0,1,0,0,0
872,0,0,1,0,0,0
873,0,0,1,0,0,0
874,0,0,1,0,0,0
875,0,0,1,0,0,0
876,0,0,1,0,0,0
877,0,0,1,0,0,0
878,0,0,1,0,0,0
879,0,0,1,0,0,0
880,0,0,1,0,0,0
881,0,0,1,0,0,0
882,0,0,1,0,0,0
883,0,0,1,0,0,0
884,0,0,1,0,0,0
885,0,0,1,0,0,0
886,0,0,1,0,0,0
887,0,0,1,0,0,0
888,0,0,1,0,0,0
889,0,0,1,0,0,0
890,0,0,1,0,0,0
891,0,0,1,0,0,0
892,0,0,1,0,0,0
893,0,0,1,0,0,0
894,0,0,1,0,0,0
895,0,0,1,0,0,0
896,0,0,1,0,0,0
897,0,0,1,0,0,0
898,1,0,0,0,0,0
899,1,1,0,0,0,0
900,1,0,0,0,0,0
901,1,0,0,0,0,0
902,1,1,0,0,0,0
903,1,1,0,0,0,0
904,1,0,0,0,0,0
905,1,0,0,0,0,0
906,1,1,0,0,0,0
907,1,0,0,0,0,0
908,1,1,0,0,0,0
909,1,0,0,0,0,0
910,1,0,0,0,0,0
911,1,1,0,0,0,0
912,1,0,0,0,0,0
913,1,0,0,0,0,0
914,1,0,0,0,0,0
915,1,1,0,0,0,0
916,1,0,1,0,0,0
917,0,1,1,0,0,0
918,1,0,1,0,0,0
919,0,1,0,0,0,0
920,0,1,0,0,0,0
921,0,1,0,0,0,0
922,0,1,0,0,0,0
923,0,1,0,0,0,0
924,0,1,0,0,0,0
925,0,1,0,0,0,0
926,0,1,0,0,0,0
927,0,1,0,0,0,0
928,0,1,0,0,0,0
929,0,1,0,0,0,0
930,0,1,0,0,0,0
931,0,1,0,0,0,0
932,0,1,0,0,0,0
933,1,0,0,0,1,0
934,1,1,0,0,1,1
935,0,0,1,0,0,0
936,1,0,0,0,0,0
937,0,0,1,0,0,0
938,0,0,1,0,0,0
939,1,1,0,0,0,0
940,1,1,0,0,1,1
941,1,1,0,0,1,1
942,1,1,0,0,1,1
943,0,0,0,1,0,0
944,0,0,0,1,0,0
945,1,0,0,0,1,1
946,0,0,0,1,0,0
947,0,0,0,1,0,0
948,1,1,0,0,0,0
949,1,0,0,0,0,1
950,1,0,0,0,1,0
951,1,1,1,0,1,1
952,1,0,1,0,1,0
953,1,1,0,0,0,0
954,1,1,0,0,1,1
955,1,1,0,0,1,1
956,1,1,0,0,1,1
957,1,1,0,0,1,1
958,1,1,0,0,1,1
959,1,0,0,0,1,1
960,1,0,0,0,0,1
961,1,0,0,0,0,1
962,1,0,0,0,0,1
963,1,1,0,0,1,0
964,0,0,0,1,0,0
965,0,0,1,0,0,0
966,0,1,1,0,0,0
967,0,1,0,0,0,0
968,0,1,0,0,0,0
969,1,0,0,0,1,1
970,1,1,1,0,1,1
971,1,0,0,0,1,1
972,1,1,0,0,1,1
973,1,1,0,0,1,1
974,1,0,0,0,0,1
975,1,0,0,0,0,1
976,1,0,0,0,1,0
977,0,0,0,1,0,0
978,0,0,1,0,0,0
979,1,0,0,0,0,0
980,1,1,0,0,1,0
981,1,1,0,0,1,1
982,1,0,0,0,1,1
983,1,0,0,0,1,1
984,1,1,0,0,1,1
985,1,0,0,0,1,1
986,1,1,0,0,1,1
987,1,1,0,0,1,1
988,1,0,0,0,1,1
989,1,1,0,0,0,1
990,1,1,0,0,0,1
991,1,0,0,0,0,1
